G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,BYU,W,86,70,25,66,0.379,8,28,0.286,28,39,0.718,10,45,19,4,4,8,20,Nevada,26,69,0.377,6,31,0.194,12,19,0.632,7,39,17,4,4,7,27
2,11/9/18,,Pacific,W,83,61,25,56,0.446,15,31,0.484,18,27,0.667,9,37,21,5,6,7,18,Nevada,25,60,0.417,5,20,0.25,6,14,0.429,6,30,15,4,1,9,28
3,11/16/18,,Little Rock,W,87,59,30,56,0.536,10,27,0.37,17,25,0.68,3,42,22,4,5,11,20,Nevada,22,63,0.349,8,29,0.276,7,17,0.412,5,32,13,6,2,11,24
4,11/19/18,,California Baptist,W,90,55,29,57,0.509,5,18,0.278,27,38,0.711,11,43,19,9,4,12,20,Nevada,19,61,0.311,6,25,0.24,11,17,0.647,7,26,7,4,2,16,28
5,11/22/18,N,Tulsa,W,96,86,25,57,0.439,11,32,0.344,35,42,0.833,11,31,6,4,4,7,22,Nevada,29,54,0.537,7,23,0.304,21,27,0.778,7,23,13,4,1,12,28
6,11/23/18,N,UMass,W,110,87,40,65,0.615,11,21,0.524,19,26,0.731,12,35,17,4,2,7,19,Nevada,26,64,0.406,15,36,0.417,20,25,0.8,13,28,13,2,3,8,23
7,11/27/18,@,Loyola (IL),W,79,65,32,55,0.582,6,14,0.429,9,15,0.6,6,33,15,7,6,7,11,Nevada,26,60,0.433,7,20,0.35,6,8,0.75,9,28,15,4,6,12,18
8,12/1/18,@,USC,W,73,61,28,60,0.467,8,20,0.4,9,13,0.692,6,34,16,1,1,11,13,Nevada,26,60,0.433,5,21,0.238,4,8,0.5,2,30,11,8,4,8,14
9,12/7/18,N,Arizona State,W,72,66,25,55,0.455,3,18,0.167,19,24,0.792,3,26,11,3,7,11,15,Nevada,25,62,0.403,5,20,0.25,11,17,0.647,11,34,13,4,2,16,25
10,12/9/18,N,Grand Canyon,W,74,66,22,51,0.431,6,22,0.273,24,29,0.828,6,34,11,7,2,13,13,Nevada,25,61,0.41,10,21,0.476,6,8,0.75,9,33,15,5,1,14,21
11,12/15/18,,South Dakota State,W,72,68,22,65,0.338,10,39,0.256,18,23,0.783,11,36,15,4,6,6,12,Nevada,23,55,0.418,11,28,0.393,11,14,0.786,3,35,14,2,0,14,24
12,12/22/18,,Akron,W,68,62,21,50,0.42,8,24,0.333,18,24,0.75,7,31,15,6,6,12,13,Nevada,23,64,0.359,10,28,0.357,6,8,0.75,15,35,13,6,2,13,23
13,12/29/18,@,Utah,W,86,71,29,61,0.475,12,26,0.462,16,23,0.696,12,27,14,7,4,6,17,Nevada,22,53,0.415,9,25,0.36,18,22,0.818,10,29,9,1,3,16,20
14,1/2/19,,Utah State,W,72,49,24,61,0.393,7,29,0.241,17,20,0.85,9,39,17,15,5,15,16,Nevada,16,61,0.262,4,23,0.174,11,17,0.647,13,41,8,7,5,20,17
15,1/5/19,@,New Mexico,L,58,85,19,57,0.333,4,22,0.182,16,27,0.593,6,32,11,3,5,14,18,Nevada,31,68,0.456,11,29,0.379,12,16,0.75,12,43,18,7,6,9,19
16,1/9/19,,San Jose State,W,92,53,38,73,0.521,13,34,0.382,3,7,0.429,8,37,23,15,2,8,12,Nevada,22,55,0.4,7,24,0.292,2,6,0.333,6,33,9,2,0,22,13
17,1/12/19,@,Fresno State,W,74,64,25,65,0.385,10,37,0.27,14,19,0.737,17,40,9,5,5,7,14,Nevada,22,51,0.431,10,25,0.4,10,17,0.588,7,32,11,2,6,12,20
18,1/15/19,@,Boise State,W,72,71,26,51,0.51,9,25,0.36,11,17,0.647,2,27,10,4,3,14,21,Nevada,24,57,0.421,5,21,0.238,18,23,0.783,4,26,7,7,1,9,16
19,1/19/19,,Air Force,W,67,52,24,57,0.421,5,27,0.185,14,23,0.609,9,37,13,8,1,14,18,Nevada,19,51,0.373,6,22,0.273,8,9,0.889,3,28,11,5,0,21,24
20,1/23/19,,Colorado State,W,100,60,37,66,0.561,13,27,0.481,13,20,0.65,4,29,21,11,3,7,14,Nevada,21,53,0.396,9,20,0.45,9,14,0.643,6,33,13,4,0,20,19
21,1/29/19,@,UNLV,W,87,70,25,52,0.481,9,22,0.409,28,32,0.875,4,35,14,6,5,11,21,Nevada,25,68,0.368,7,26,0.269,13,20,0.65,14,37,14,7,2,14,26
22,2/2/19,,Boise State,W,93,73,35,63,0.556,13,28,0.464,10,13,0.769,4,33,22,5,2,4,20,Nevada,26,56,0.464,9,21,0.429,12,19,0.632,4,26,13,2,1,11,15
23,2/6/19,@,Colorado State,W,98,82,31,66,0.47,8,22,0.364,28,35,0.8,12,32,18,5,4,5,18,Nevada,33,58,0.569,5,16,0.313,11,16,0.688,5,29,20,2,7,8,23
24,2/9/19,,New Mexico,W,91,62,34,68,0.5,6,20,0.3,17,24,0.708,11,46,18,9,4,17,17,Nevada,22,66,0.333,8,30,0.267,10,15,0.667,7,33,11,6,1,20,20
25,2/16/19,@,Wyoming,W,82,49,31,57,0.544,9,23,0.391,11,17,0.647,8,39,14,7,2,13,17,Nevada,15,50,0.3,6,24,0.25,13,18,0.722,5,27,7,6,1,15,19
26,2/20/19,@,San Diego State,L,57,65,19,56,0.339,7,25,0.28,12,20,0.6,6,35,11,5,7,14,21,Nevada,25,63,0.397,6,19,0.316,9,17,0.529,8,39,12,7,4,14,21
27,2/23/19,,Fresno State,W,74,68,21,48,0.438,10,24,0.417,22,31,0.71,8,31,15,9,1,14,16,Nevada,26,58,0.448,11,26,0.423,5,10,0.5,9,28,13,2,2,17,26
28,2/27/19,,UNLV,W,89,73,32,60,0.533,13,27,0.481,12,17,0.706,8,25,20,9,3,8,13,Nevada,28,63,0.444,9,26,0.346,8,13,0.615,13,32,11,8,1,17,18
29,3/2/19,@,Utah State,L,76,81,24,66,0.364,6,23,0.261,22,34,0.647,12,38,8,7,4,11,28,Nevada,24,51,0.471,5,17,0.294,28,37,0.757,5,40,16,6,5,11,26
30,3/5/19,@,Air Force,W,90,79,33,63,0.524,13,26,0.5,11,18,0.611,7,33,14,5,6,5,16,Nevada,29,57,0.509,12,25,0.48,9,15,0.6,4,28,15,3,4,10,15
31,3/9/19,,San Diego State,W,81,53,26,49,0.531,9,23,0.391,20,35,0.571,4,38,14,4,2,13,17,Nevada,18,52,0.346,10,21,0.476,7,17,0.412,1,25,10,4,0,12,25
32,3/14/19,N,Boise State,W,77,69,26,54,0.481,9,23,0.391,16,21,0.762,7,30,16,2,3,9,15,Nevada,25,55,0.455,8,17,0.471,11,13,0.846,4,23,14,6,2,8,15
33,3/15/19,N,San Diego State,L,56,65,22,58,0.379,6,24,0.25,6,13,0.462,10,36,5,5,5,12,18,Nevada,23,54,0.426,6,13,0.462,13,17,0.765,5,29,11,3,1,10,18