"","School","G","W-L%","SRS","SOS","FG%","3P%","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FT/FGA","DRtg"
"1","Abilene Christian",33,0.818,-1.3,-8.13,0.474,0.386,0.715,322,1093,514,288,90,397,619,67.3,109.8,0.243,95.2511666209168
"2","Air Force",32,0.438,-3.94,0.58,0.451,0.329,0.678,253,1077,434,154,57,423,543,67.4,99.5,0.192,106.7870775533
"3","Akron",33,0.515,5.2,1.42,0.409,0.32,0.705,312,1204,399,185,106,388,569,68.5,100.1,0.195,94.0792998749777
"4","Alabama A&M",32,0.156,-19.28,-8.44,0.407,0.316,0.627,314,1025,384,234,49,487,587,67.5,88.7,0.157,105.728299093096
"5","Alabama-Birmingham",34,0.588,0.85,-1.25,0.454,0.336,0.671,353,1237,395,215,80,388,559,66.4,105.2,0.21,103.213286397689
"6","Alabama State",31,0.387,-15.69,-7.93,0.404,0.32,0.652,365,1094,313,203,102,451,565,69.6,96,0.253,105.29539244323
"7","Alabama",33,0.545,10.27,9.79,0.441,0.339,0.668,368,1241,401,152,154,449,560,69.9,102.8,0.257,104.773354706563
"8","Albany (NY)",32,0.375,-9.21,-6.53,0.416,0.347,0.745,294,1083,402,195,78,454,566,66.7,99.2,0.24,103.764749953175
"9","Alcorn State",31,0.323,-22.15,-9.04,0.412,0.327,0.674,334,1079,391,229,107,492,548,68.8,93.2,0.213,104.66558534491
"10","American",30,0.5,-4.02,-7.05,0.475,0.326,0.698,251,1013,401,221,131,386,520,67.7,104.7,0.25,102.800953516091
"11","Appalachian State",32,0.344,-3.59,0.24,0.454,0.359,0.715,310,1126,406,171,89,418,585,73.7,107.6,0.261,109.04483765676
"12","Arizona State",32,0.688,10.46,5.71,0.447,0.341,0.671,389,1283,435,199,103,434,635,72.1,106.2,0.292,102.561852956659
"13","Arizona",32,0.531,8.36,6.36,0.427,0.336,0.719,324,1116,397,165,73,370,594,68.6,102.6,0.24,102.320185614849
"14","Little Rock",31,0.323,-4.64,-1.85,0.484,0.355,0.656,244,1060,443,169,87,503,622,72.7,101.2,0.273,105.648347701149
"15","Arkansas-Pine Bluff",32,0.406,-14.51,-8.25,0.427,0.338,0.678,317,1063,365,216,108,478,629,67.3,96.3,0.282,106.686101184879
"16","Arkansas State",32,0.406,-6.83,-0.97,0.418,0.334,0.735,403,1211,363,183,139,448,684,70.2,102.6,0.278,110.619469026549
"17","Arkansas",33,0.545,12.14,8.99,0.448,0.347,0.668,337,1111,521,266,162,439,667,71.8,104.6,0.257,101.888879435038
"18","Army",32,0.406,-7.35,-4.51,0.428,0.315,0.684,259,1125,499,198,50,376,544,71.7,98.9,0.165,101.928009197842
"19","Auburn",35,0.743,20.36,10.07,0.448,0.376,0.713,419,1212,501,330,168,424,636,69.3,114,0.223,99.0197707260342
"20","Austin Peay",33,0.667,0.63,-4.37,0.472,0.382,0.706,397,1215,454,252,110,392,595,71.9,113.1,0.242,103.252032520325
"21","Ball State",33,0.485,3.72,1.54,0.47,0.325,0.702,308,1243,426,217,119,480,580,71.7,103.1,0.263,100.61339240075
"22","Baylor",32,0.594,12.84,8.37,0.44,0.34,0.674,428,1222,443,196,152,424,599,66.6,107.1,0.22,102.841289581938
"23","Belmont",32,0.844,8.98,-3.19,0.5,0.374,0.739,277,1238,631,218,121,371,493,74.4,116.3,0.21,100.246368193017
"24","Bethune-Cookman",31,0.452,-11.84,-9.6,0.439,0.321,0.61,415,1273,443,234,108,501,610,74.3,98.6,0.221,99.309917720959
"25","Binghamton",33,0.303,-13.72,-4.49,0.431,0.349,0.644,244,1060,324,183,152,409,474,67.3,96.9,0.158,108.602248834446
"26","Boise State",33,0.394,3.86,1.33,0.469,0.352,0.723,242,1016,398,200,68,379,569,66.5,106.9,0.234,104.208878246454
"27","Boston College",31,0.452,6.47,8.41,0.425,0.317,0.698,331,1137,382,159,103,378,509,68.4,101.9,0.244,107.010720045536
"28","Boston University",33,0.455,-6.42,-5.2,0.48,0.346,0.684,311,1091,447,199,73,425,578,68.1,105.8,0.166,107.367758186398
"29","Bowling Green State",34,0.647,4.53,1.15,0.443,0.357,0.67,408,1396,427,227,90,412,595,72.8,106.9,0.237,102.295081967213
"30","Bradley",34,0.588,-0.29,-1.47,0.434,0.366,0.693,311,1169,410,183,128,430,595,66.1,100.4,0.249,100.290565695088
"31","Brigham Young",32,0.594,6.39,3.54,0.468,0.33,0.727,263,1116,482,203,107,354,626,71.9,108.5,0.29,107.407407407407
"32","Brown",30,0.633,-0.17,-3.49,0.443,0.337,0.709,255,1099,385,229,114,427,565,72.7,100.5,0.268,95.3113348247576
"33","Bryant",30,0.333,-14.88,-7.34,0.422,0.325,0.712,285,969,319,158,79,383,575,69.2,100.6,0.262,114.260319968398
"34","Bucknell",33,0.636,0.75,-2.77,0.45,0.351,0.749,286,1154,519,173,116,409,627,71.4,107.2,0.254,104.575728743188
"35","Buffalo",34,0.912,15.99,2.17,0.463,0.336,0.691,428,1395,573,249,138,402,617,74.7,113.2,0.223,96.1661854347129
"36","Butler",32,0.5,9.77,8.49,0.445,0.35,0.737,280,1032,418,188,61,351,570,67.2,106,0.185,105.625233994759
"37","Cal Poly",29,0.207,-13.72,-3.31,0.412,0.328,0.648,284,975,301,147,99,334,544,66.8,97.5,0.171,112.190358721349
"38","Cal State Bakersfield",31,0.516,-4.69,-2.08,0.428,0.332,0.667,446,1155,359,205,98,410,684,67.5,104.4,0.199,105.800575263663
"39","Cal State Fullerton",33,0.485,-2.77,-0.81,0.457,0.319,0.703,271,1187,397,195,112,437,617,70.4,100.5,0.267,101.653822841804
"40","Cal State Northridge",34,0.382,-6.33,-3.18,0.46,0.361,0.638,352,1214,512,225,154,410,641,72.1,105,0.205,111.042591679
"41","California Baptist",30,0.533,-3.8,-4.07,0.45,0.359,0.783,298,1131,339,146,82,364,610,70.3,109.5,0.24,103.958511751832
"42","UC-Davis",31,0.355,-6,-1.24,0.439,0.328,0.709,218,928,375,196,71,412,596,67,96.5,0.218,102.653159671973
"43","UC-Irvine",35,0.857,5.85,-3,0.459,0.361,0.696,412,1404,463,199,148,412,648,66.3,108.4,0.206,96.2975838692856
"44","UC-Riverside",33,0.303,-10.87,-2.94,0.444,0.377,0.684,281,1051,426,164,60,425,561,64.4,100.9,0.161,108.554825188149
"45","UC-Santa Barbara",32,0.688,-1.43,-5.36,0.454,0.343,0.716,379,1204,431,159,106,355,559,66,110.4,0.273,102.066434916956
"46","University of California",31,0.258,-3.09,5.49,0.426,0.35,0.723,249,899,335,227,98,352,573,68.5,99.5,0.251,114.803770681031
"47","Campbell",33,0.606,-3.75,-4.52,0.455,0.343,0.758,267,1051,482,218,104,337,522,68,110.7,0.235,105.225094919544
"48","Canisius",32,0.469,-8.6,-4.67,0.435,0.324,0.692,300,1026,466,204,108,412,626,68.5,101.4,0.217,109.191176470588
"49","Central Arkansas",33,0.424,-11.03,-4.46,0.426,0.352,0.73,299,1164,463,202,120,478,611,72,99.5,0.256,106.352179836512
"50","Central Connecticut State",31,0.355,-13.69,-6.38,0.414,0.328,0.782,332,1107,353,172,110,427,598,70.4,99.4,0.272,109.098451327434
"51","UCF",31,0.742,12.48,4.64,0.463,0.354,0.645,300,1139,411,178,139,367,524,67.2,107,0.3,98.380886563333
"52","Central Michigan",34,0.676,3.43,-0.24,0.454,0.371,0.673,412,1292,448,258,105,412,579,73.3,110.7,0.283,104.934770277935
"53","Charleston Southern",32,0.531,-2.28,-4.31,0.429,0.352,0.676,390,1200,459,252,106,414,537,71.9,105.3,0.187,97.7727113293581
"54","Charlotte",29,0.276,-8.12,-0.67,0.415,0.311,0.742,199,892,288,138,101,418,490,65.8,93,0.27,106.546854942234
"55","Chattanooga",32,0.375,-7.49,-0.39,0.443,0.365,0.683,278,1096,419,139,79,409,553,69.5,101.6,0.166,108.255877528704
"56","Chicago State",32,0.094,-24.43,1.07,0.411,0.301,0.675,249,993,373,193,72,512,625,72,85.5,0.225,120.723449750535
"57","Cincinnati",34,0.824,14.6,5.1,0.432,0.35,0.704,431,1232,457,210,153,358,545,64.9,109.7,0.268,97.1252755326965
"58","Citadel",30,0.4,-7.72,0.24,0.447,0.344,0.736,322,1107,463,201,110,386,528,76.7,110,0.192,113.174491941135
"59","Clemson",33,0.606,14.85,9.61,0.454,0.332,0.731,298,1169,404,214,148,439,539,67.3,102.9,0.24,96.7993396918562
"60","Cleveland State",31,0.323,-7.88,-1.43,0.436,0.37,0.682,303,1094,460,174,97,412,551,71.4,103.1,0.218,111.943040881948
"61","Coastal Carolina",31,0.484,-1.17,-2,0.45,0.366,0.72,338,1138,406,196,76,442,638,70.7,107.1,0.294,104.589951976358
"62","Colgate",34,0.706,1.02,-4.41,0.48,0.388,0.741,319,1209,531,210,120,443,532,67.9,110.5,0.213,104.164843818357
"63","College of Charleston",33,0.727,2.71,-2.6,0.483,0.34,0.764,260,1060,387,216,76,347,486,66.3,111.3,0.259,105.299860529986
"64","Colorado State",32,0.375,0.19,1.71,0.476,0.359,0.694,256,1080,472,200,74,372,522,68.9,108.1,0.221,111.100849649058
"65","Colorado",34,0.647,10.01,3.65,0.456,0.326,0.751,349,1273,452,174,102,452,586,69.4,106.3,0.28,99.2580450349409
"66","Columbia",28,0.357,-5.01,-1.97,0.452,0.362,0.704,255,986,443,218,78,366,539,69.4,102.3,0.155,103.469140782574
"67","Connecticut",33,0.485,6.7,4.21,0.446,0.344,0.68,380,1167,422,200,145,427,643,69.7,105.5,0.223,104.048797736917
"68","Coppin State",33,0.242,-18.76,-6.97,0.389,0.285,0.665,314,1218,326,169,115,555,619,71.9,88.5,0.251,106.972179552825
"69","Cornell",31,0.484,-6,-1.9,0.442,0.332,0.722,191,1015,453,181,107,414,491,69.6,97.9,0.233,102.818080357143
"70","Creighton",33,0.576,12.56,8.91,0.482,0.393,0.687,268,1122,526,223,83,434,549,70.1,110.3,0.196,104.864537349606
"71","Dartmouth",30,0.367,-5.61,-2.86,0.453,0.367,0.722,246,1020,415,159,98,361,468,68.3,104.6,0.18,103.878252331861
"72","Davidson",34,0.706,6.63,2.2,0.45,0.354,0.749,264,1185,499,175,82,378,539,66.1,106.8,0.208,100.541271989175
"73","Dayton",33,0.636,9.91,3.16,0.504,0.332,0.69,261,1145,541,164,81,414,463,66.2,108.9,0.222,100.506445672192
"74","Delaware State",31,0.194,-26.8,-10.11,0.354,0.297,0.679,378,1144,333,214,65,435,589,72.6,86.9,0.169,107.01390142625
"75","Delaware",33,0.515,-7.56,-4.46,0.459,0.378,0.727,254,1083,425,149,78,378,523,64.7,106.9,0.227,110.307749351131
"76","Denver",30,0.267,-11.69,-2.82,0.438,0.365,0.759,275,1041,354,142,78,408,506,69.1,100.3,0.203,113.676470588235
"77","DePaul",30,0.5,6.82,5.05,0.467,0.345,0.716,340,1125,438,190,87,414,536,71,107.8,0.253,107.44944677604
"78","Detroit Mercy",31,0.355,-6.25,-0.29,0.418,0.356,0.718,336,1019,319,238,77,355,528,70.4,104.3,0.222,115.876598946576
"79","Drake",33,0.727,3.29,-0.23,0.471,0.364,0.753,271,1174,508,174,126,436,549,69.4,107.1,0.245,101.370946480359
"80","Drexel",32,0.406,-6.68,-2.59,0.46,0.354,0.753,312,1126,464,144,62,377,543,70,108.3,0.232,112.571636495952
"81","Duke",34,0.853,28.34,12.4,0.477,0.302,0.69,455,1421,541,322,232,446,539,73.7,112.9,0.238,93.2072715468268
"82","Duquesne",32,0.594,0.72,-0.44,0.427,0.322,0.694,379,1133,443,250,151,451,580,70.5,103,0.243,103.664546187618
"83","East Carolina",31,0.323,-5.63,1.18,0.418,0.284,0.682,317,1061,382,223,110,416,622,69.9,95.2,0.243,107.16949468581
"84","East Tennessee State",33,0.727,5.99,-1.5,0.485,0.36,0.665,430,1320,513,246,131,470,582,70,111.8,0.205,99.1782498470146
"85","Eastern Illinois",32,0.438,-11.77,-4.96,0.432,0.37,0.688,347,1147,434,200,120,427,569,69,101.7,0.196,111.176470588235
"86","Eastern Kentucky",31,0.419,-7.33,-2.4,0.424,0.327,0.712,362,1167,458,317,101,447,661,79.9,101.3,0.229,103.777384020619
"87","Eastern Michigan",32,0.469,0.8,4.83,0.449,0.295,0.629,400,1155,369,237,142,442,530,66.5,102.3,0.209,105.100683890578
"88","Eastern Washington",34,0.471,-6.81,-4.21,0.429,0.35,0.729,299,1192,467,200,101,401,632,69.5,102.6,0.195,107.0581257414
"89","Elon",32,0.344,-11.12,-3.15,0.437,0.356,0.693,265,1080,468,135,59,413,539,69,101.9,0.165,111.889071938495
"90","Evansville",32,0.344,-3.7,0.26,0.421,0.34,0.721,215,1095,394,185,89,416,601,70.8,97.5,0.268,103.391343150379
"91","Fairfield",31,0.29,-10.11,-7.04,0.434,0.35,0.693,273,968,401,202,63,436,612,68.1,98.1,0.166,103.883029721956
"92","Fairleigh",34,0.618,-5.66,-8.04,0.48,0.404,0.729,315,1125,478,254,128,460,564,68.7,108.5,0.263,105.290546400694
"93","Florida A&M",31,0.387,-13.54,-8.06,0.438,0.368,0.614,288,991,355,226,111,499,580,67.1,92.3,0.188,100.233895331839
"94","Florida Atlantic",32,0.531,-1.02,-1.44,0.412,0.323,0.75,357,1266,407,178,93,473,562,70.4,99,0.21,96.9683459652251
"95","Florida Gulf Coast",32,0.438,-4.94,-1.31,0.453,0.372,0.668,272,1064,449,216,133,479,514,71.1,100.2,0.22,105.915088412171
"96","Florida International",32,0.594,-3.76,-1.3,0.441,0.306,0.639,347,1150,468,339,146,448,621,80.7,102.3,0.24,100.828729281768
"97","FSU",34,0.794,18.37,10.58,0.443,0.336,0.741,389,1271,438,237,145,459,651,69.2,106.7,0.269,97.4214480874317
"98","Florida",34,0.559,15.74,11.12,0.427,0.335,0.718,361,1141,416,244,126,400,581,64.8,104.2,0.218,99.3298448544937
"99","Fordham",32,0.375,-4.76,-2.15,0.402,0.332,0.68,305,1082,360,188,108,345,559,66.4,98,0.166,101.238887838093
"100","Fresno State",32,0.719,9.32,1,0.454,0.381,0.72,300,1138,457,228,111,400,591,69.6,109.5,0.221,98.5055585930381
"101","Furman",32,0.781,8,-1.49,0.476,0.363,0.714,320,1144,510,280,135,401,465,68.3,112.3,0.186,96.6321005781408
"102","Gardner-Webb",34,0.676,-3.05,-5.4,0.488,0.391,0.711,268,1169,492,233,99,391,545,68.7,111.6,0.274,102.884367756889
"103","George Mason",33,0.545,1.04,0.29,0.445,0.33,0.716,323,1166,399,204,95,428,563,68.1,102.2,0.245,103.40621611854
"104","George Washington",33,0.273,-6.4,1.45,0.404,0.311,0.685,274,1116,375,170,96,413,526,67.5,92.8,0.223,106.078343088699
"105","Georgetown",32,0.594,7.53,5.91,0.445,0.359,0.735,340,1269,531,189,130,435,566,73.4,106,0.284,106.505102040816
"106","Georgia Southern",33,0.636,3.96,0.34,0.499,0.322,0.692,316,1186,401,254,131,451,590,75.3,108.8,0.246,101.575253019915
"107","Georgia State",33,0.727,3.1,0.35,0.464,0.388,0.663,267,1083,410,263,157,384,572,71.4,107.9,0.235,104.843627493684
"108","Georgia Tech",32,0.438,7.51,8.73,0.44,0.307,0.689,262,1076,433,221,166,459,560,68.1,95.6,0.236,99.245177523064
"109","Georgia",32,0.344,5.62,8.43,0.441,0.322,0.705,357,1215,423,185,163,506,565,70.4,100.9,0.291,107.483859234337
"110","Gonzaga",33,0.909,28.23,4.44,0.532,0.365,0.767,315,1275,594,249,178,342,530,71.6,124.1,0.276,92.895465559017
"111","Grambling",33,0.515,-9.96,-9.59,0.448,0.399,0.684,306,1255,398,189,145,521,683,71.5,98.9,0.296,97.6515282334657
"112","Grand Canyon",33,0.606,4.49,-1.45,0.454,0.332,0.733,344,1202,466,202,71,397,577,69.4,108.1,0.248,100.681235070335
"113","Green Bay",33,0.515,-3.31,-0.01,0.453,0.339,0.704,317,1197,489,259,134,422,634,76.4,104.4,0.244,106.263620954072
"114","Hampton",31,0.484,-4.28,-5.35,0.434,0.344,0.782,332,1194,435,194,110,334,586,72.8,109.6,0.276,105.058709278715
"115","Hartford",33,0.545,-3.68,-4.62,0.455,0.381,0.742,278,1050,462,228,69,401,552,68,108.4,0.246,107.763252148997
"116","Harvard",29,0.621,1.38,0.17,0.457,0.368,0.715,267,1043,348,167,111,458,514,68.5,102.2,0.223,101.684717208183
"117","Hawaii",31,0.581,-1.06,-3.37,0.451,0.354,0.693,278,1055,478,156,66,368,556,67.6,106.1,0.229,103.126209833527
"118","High Point",31,0.516,-5.77,-4.53,0.444,0.309,0.677,363,1183,404,170,91,406,502,65.5,103,0.238,105.060890397285
"119","Hofstra",35,0.771,5.04,-4.16,0.486,0.385,0.802,305,1168,492,228,122,342,526,68.3,118.8,0.299,106.428214107054
"120","Holy Cross",33,0.485,-6.27,-3.85,0.462,0.354,0.667,220,916,510,241,127,350,481,65,102.1,0.154,107.61154855643
"121","Houston Baptist",30,0.4,-9,-5.18,0.456,0.34,0.675,409,1142,449,234,54,442,593,75,107.3,0.282,110.586768765025
"122","Houston",34,0.912,18.23,3.85,0.444,0.359,0.702,422,1391,503,219,153,386,648,67.6,111.9,0.224,92.4183238636364
"123","Howard",33,0.515,-12.36,-9.79,0.434,0.364,0.722,394,1219,450,193,139,417,628,74.7,105.1,0.261,106.094251171971
"124","Idaho State",30,0.367,-13.15,-4.79,0.447,0.364,0.735,275,975,383,154,88,360,497,68.9,106.3,0.21,116.918369361366
"125","Idaho",32,0.156,-18.72,-6.16,0.441,0.37,0.724,258,1061,399,130,53,433,581,67.9,99.6,0.208,114.856662620226
"126","Illinois-Chicago",32,0.5,-3.14,-1.97,0.46,0.354,0.682,271,1106,478,210,124,457,684,71.5,103.3,0.19,104.743083003953
"127","Illinois State",33,0.515,-1.86,0.46,0.431,0.332,0.717,298,1139,421,162,106,417,577,67.9,100,0.205,104.140414041404
"128","Illinois",33,0.364,9.47,12.05,0.431,0.345,0.702,351,1089,446,244,86,435,696,71,101.2,0.207,106.961316446972
"129","Incarnate Word",31,0.194,-18.68,-4.87,0.466,0.343,0.81,204,845,354,184,53,504,592,66.6,97.8,0.293,114.97900595645
"130","Indiana State",31,0.484,-2.59,0.76,0.44,0.363,0.731,250,1007,342,207,73,410,586,69.3,99,0.264,104.258719563787
"131","Indiana",33,0.545,14.81,10.66,0.461,0.313,0.658,322,1198,444,213,146,411,563,68.3,103.9,0.229,99.8129342597541
"132","Iona",32,0.531,-5.04,-6.26,0.453,0.351,0.741,282,1126,420,217,89,394,552,71.3,107.8,0.275,108.637098222302
"133","Iowa State",34,0.676,18.14,9.02,0.477,0.365,0.732,321,1199,518,238,158,367,502,68.4,113.3,0.222,101.796669588081
"134","Iowa",33,0.667,14.44,9.78,0.455,0.361,0.74,343,1179,519,204,108,401,529,70.3,110.6,0.313,106.935398697412
"135","Purdue-Fort Wayne",33,0.545,-3.3,-3.44,0.481,0.379,0.693,271,1140,525,247,158,395,495,73.5,111.7,0.187,106.199102542795
"136","IUPUI",33,0.485,-2.73,-3.05,0.453,0.337,0.702,403,1233,471,228,103,462,578,71.6,106.1,0.249,105.260877101751
"137","Jackson State",32,0.406,-14.61,-9.35,0.404,0.279,0.634,331,1124,360,210,124,436,643,67.4,91.2,0.217,99.349302150132
"138","Jacksonville State",33,0.727,1.64,-5.42,0.462,0.315,0.743,400,1310,451,245,138,440,552,71.3,107.4,0.227,96.9015280135823
"139","Jacksonville",32,0.375,-8.16,-4.62,0.455,0.33,0.677,330,1163,456,213,166,463,523,73.3,101.3,0.202,103.588062791099
"140","James Madison",33,0.424,-8.21,-3.76,0.441,0.362,0.72,345,1123,403,211,101,420,612,66,104.3,0.235,110.616218201855
"141","Kansas State",33,0.758,15.78,9.2,0.431,0.336,0.664,308,1100,454,251,75,372,532,65,101.3,0.204,92.8476443768997
"142","Kansas",34,0.735,18.08,12.78,0.462,0.35,0.697,353,1293,453,233,134,444,573,70.3,106,0.23,100.829313700601
"143","Kennesaw State",32,0.188,-16.1,-0.97,0.381,0.311,0.695,372,1163,363,185,106,437,525,70.9,89.1,0.211,109.305431878896
"144","Kent State",32,0.688,1.88,0.88,0.432,0.335,0.721,400,1153,418,219,115,367,587,69.4,107.3,0.231,106.567874130992
"145","Kentucky",33,0.818,21.76,10.46,0.478,0.364,0.74,384,1272,457,199,167,417,537,67.9,112.6,0.314,99.0366972477064
"146","La Salle",31,0.323,-3.33,1.58,0.4,0.331,0.77,328,1060,391,230,98,435,630,69.5,97,0.219,106.313394634563
"147","Lafayette",30,0.333,-11.01,-4.77,0.449,0.38,0.744,233,1001,419,156,125,402,515,70.4,102.9,0.182,110.343855693348
"148","Lamar",33,0.606,-5.72,-7,0.456,0.343,0.687,446,1281,479,283,96,473,623,71.3,108.8,0.286,99.5199725698612
"149","Lehigh",31,0.645,-2.16,-4.29,0.483,0.424,0.775,232,1102,468,172,71,418,571,72.4,109.5,0.271,109.353756911085
"150","Liberty",34,0.824,4.78,-5.12,0.491,0.368,0.771,263,1113,505,217,91,373,513,65.3,113.3,0.199,94.7271893626777
"151","Lipscomb",33,0.788,8.79,-2.63,0.484,0.375,0.754,300,1229,573,248,90,438,572,74.8,111.7,0.276,94.9892151982744
"152","Long Beach State",34,0.441,-4.36,-0.23,0.432,0.344,0.691,377,1263,399,219,105,479,620,73.3,101,0.283,104.810578405127
"153","Long Island University",32,0.5,-8.67,-8.77,0.437,0.341,0.703,321,1196,430,218,157,471,610,72.9,101.4,0.24,102.177334732424
"154","Longwood",32,0.469,-9.86,-7.45,0.423,0.344,0.731,269,1133,364,198,68,459,591,68.9,99.9,0.252,102.560585276635
"155","Louisiana",32,0.594,-1.86,-1.29,0.446,0.348,0.742,363,1141,485,224,125,423,612,74.9,108.2,0.261,108.879492600423
"156","Louisiana-Monroe",33,0.545,1.04,-1.77,0.452,0.395,0.782,297,1099,461,191,74,373,513,69.2,112.3,0.289,109.21076073401
"157","LSU",32,0.813,17.24,8.9,0.462,0.323,0.754,431,1241,420,291,138,422,597,70.5,112.3,0.284,103.28825245293
"158","Louisiana Tech",33,0.606,1.27,-1.99,0.436,0.335,0.657,368,1204,440,190,115,386,535,68,105.2,0.235,100.585058505851
"159","Louisville",33,0.606,18.45,11.72,0.434,0.342,0.775,338,1262,442,147,97,407,569,68.5,107.1,0.272,99.6881959910913
"160","Loyola (IL)",34,0.588,4.21,0.06,0.492,0.365,0.666,190,1013,468,221,78,407,470,63.7,103,0.215,97.3151201130476
"161","Loyola Marymount",31,0.645,3.09,1.19,0.457,0.317,0.744,291,1005,413,224,93,396,556,65.3,103.5,0.283,98.5751818916734
"162","Loyola (MD)",32,0.344,-8.95,-4.42,0.459,0.341,0.71,292,997,448,278,73,444,573,70.4,102.4,0.239,110.837658850904
"163","Maine",32,0.156,-14.89,-3.99,0.432,0.311,0.648,280,1015,471,239,93,460,566,64.6,94,0.17,108.722711604749
"164","Manhattan",32,0.344,-12.79,-7.22,0.405,0.332,0.584,326,1026,360,220,75,487,672,62.7,91,0.194,101.534888417651
"165","Marist",31,0.387,-9.36,-7.4,0.449,0.363,0.685,241,967,377,172,53,387,583,65.6,101.8,0.22,107.082294264339
"166","Marquette",33,0.727,16.11,7.48,0.459,0.393,0.759,317,1249,450,159,141,455,615,70.6,108.9,0.272,98.9154013015184
"167","Marshall",34,0.588,-1.16,0.02,0.441,0.346,0.724,296,1124,490,313,146,425,621,76.1,104.2,0.217,107.948778012025
"168","Maryland-Baltimore County",34,0.618,-5.65,-5.65,0.433,0.323,0.691,296,1145,452,268,83,428,578,65.8,99.7,0.209,96.5924216878161
"169","Maryland-Eastern Shore",32,0.219,-24.07,-7.77,0.391,0.282,0.673,264,990,361,186,70,431,575,65.5,87.1,0.193,110.804797833237
"170","Maryland",32,0.688,16.71,10.43,0.454,0.353,0.748,351,1252,423,139,151,420,495,66.3,107.6,0.246,100.115406809002
"171","Massachusetts-Lowell",32,0.469,-8.07,-6.73,0.472,0.341,0.72,293,1115,500,181,85,447,589,71.9,106,0.248,107.003891050584
"172","Massachusetts",32,0.344,-2.81,0.04,0.441,0.35,0.681,342,1122,469,154,93,445,643,68.4,102.6,0.213,108.699667528629
"173","McNeese State",31,0.29,-14.12,-5.86,0.454,0.307,0.713,310,1054,429,146,97,450,467,68.4,100.9,0.275,111.052174751664
"174","Memphis",35,0.629,10.84,4.73,0.452,0.324,0.713,430,1332,541,279,141,523,716,75.5,105.7,0.269,99.9538851740835
"175","Mercer",31,0.355,-2.49,0.13,0.451,0.344,0.688,307,1058,393,207,80,407,557,69.1,104.5,0.255,106.688200646019
"176","Miami (FL)",32,0.438,10.01,9.32,0.435,0.333,0.735,291,1060,413,212,100,372,465,68.5,104.4,0.227,105.421686746988
"177","Miami (OH)",32,0.469,1.08,2.62,0.421,0.324,0.709,353,1190,349,193,88,413,581,68.8,102.6,0.241,103.552216657392
