"","School","G","W-L%","SRS","SOS","FG%","3P%","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FT/FGA","DRtg"
"178","Michigan State",34,0.824,25.57,12.27,0.486,0.384,0.75,366,1390,645,178,186,437,575,68.5,114.3,0.262,97.4202011368605
"179","Michigan",34,0.824,22.66,10.83,0.45,0.35,0.698,277,1191,475,209,143,298,477,65.4,107.6,0.189,91.48134534093
"180","Middle Tennessee",32,0.344,-5.75,1.79,0.419,0.326,0.677,382,1228,353,190,85,512,582,70.3,95.2,0.201,104.736460786089
"181","Milwaukee",31,0.29,-8.8,-2.4,0.42,0.342,0.746,288,1095,355,145,94,382,579,68.9,100,0.208,109.342527866994
"182","Minnesota",34,0.618,12.77,11.16,0.437,0.321,0.679,388,1260,504,163,136,407,550,68,103.7,0.286,103.877749315432
"183","Mississippi State",33,0.697,16.76,9.54,0.472,0.378,0.715,385,1183,468,267,164,439,564,68.5,112,0.231,103.645973304667
"184","Mississippi Valley State",32,0.188,-22.47,-6.98,0.38,0.31,0.658,378,1165,361,176,70,415,570,70.6,90.7,0.222,112.58337840274
"185","Ole Miss",32,0.625,13.26,8.23,0.459,0.358,0.783,315,1098,459,234,116,405,579,69.2,108.5,0.248,103.874538745387
"186","Missouri-Kansas City",32,0.344,-6.26,-1.2,0.431,0.356,0.7,261,966,352,232,90,391,647,68.6,100.3,0.23,108.37962962963
"187","Missouri State",32,0.5,-1.01,-0.85,0.452,0.345,0.692,270,1000,354,221,127,385,540,66.5,103.2,0.253,103.711895374555
"188","Missouri",32,0.469,8.91,9.47,0.43,0.363,0.703,345,1130,354,149,53,448,625,66.1,100.9,0.21,104.361220756715
"189","Monmouth",35,0.4,-10.54,-4.72,0.415,0.297,0.687,360,1224,379,237,101,502,697,68.4,94.1,0.277,105.2498097895
"190","Montana State",32,0.469,-7.83,-5.74,0.456,0.374,0.737,292,1083,491,169,46,394,567,71.6,109.2,0.255,113.705221885582
"191","Montana",34,0.765,1.51,-5.84,0.497,0.382,0.69,286,1142,498,222,101,406,637,68.5,111.6,0.22,101.71643751642
"192","Morehead State",33,0.394,-7.72,-1.75,0.429,0.341,0.705,357,1177,440,186,137,402,561,70.6,103.2,0.231,110.584449469473
"193","Morgan State",30,0.3,-15.85,-10.49,0.394,0.322,0.713,397,1078,358,230,48,401,614,73.8,96.6,0.249,105.176663927691
"194","Mount St. Mary's",31,0.29,-14.22,-5.66,0.418,0.308,0.678,293,1036,354,146,107,410,576,69.5,97.1,0.23,108.361774744027
"195","Murray State",31,0.871,8.83,-4.38,0.496,0.348,0.738,333,1172,561,235,142,376,505,71.7,116.1,0.246,96.1732124874119
"196","Navy",31,0.387,-9.96,-3.86,0.41,0.317,0.715,359,1160,399,167,58,437,534,68.3,97.3,0.218,108.089930822444
"197","Omaha",32,0.656,-2.21,-3.27,0.475,0.392,0.721,273,1047,409,180,61,304,486,70,111.7,0.171,110.630240735732
"198","Nebraska",34,0.529,15.86,11.74,0.428,0.339,0.695,354,1205,431,249,147,330,547,67.3,105.9,0.224,100.222024866785
"199","Nevada-Las Vegas",31,0.548,1.85,0.76,0.427,0.337,0.685,408,1204,399,184,115,401,556,69,105.5,0.239,106.569065500523
"200","Nevada",33,0.879,16.58,2.58,0.466,0.351,0.708,307,1234,494,204,129,338,563,71,113.7,0.288,96.0111722091298
"201","New Hampshire",29,0.172,-18.48,-5.85,0.376,0.332,0.61,260,987,325,117,53,356,533,67.1,89.5,0.142,104.407135362015
"202","New Mexico State",34,0.882,10.11,-2.74,0.459,0.335,0.675,435,1304,501,191,89,403,607,68.3,114,0.227,95.4987301865312
"203","New Mexico",32,0.438,-0.24,1.92,0.422,0.346,0.702,351,1200,446,220,107,455,627,74.5,102.5,0.271,105.367110347789
"204","New Orleans",32,0.594,-8.51,-6.23,0.446,0.341,0.687,378,1122,475,277,129,499,605,70.7,99.9,0.245,99.3406985032074
"205","Niagara",32,0.406,-11.21,-7.65,0.421,0.359,0.736,315,1143,343,128,125,390,511,70.4,102.6,0.245,109.866281170943
"206","Nicholls State",31,0.452,-11.58,-6.69,0.422,0.367,0.77,280,1041,428,208,128,386,587,71.2,101.6,0.168,105.248719824433
"207","NJIT",34,0.647,-3.21,-4.73,0.447,0.349,0.72,241,1144,367,214,91,414,566,68.8,101.9,0.281,100.948981368623
"208","Norfolk State",34,0.618,-8.58,-9.8,0.439,0.369,0.715,331,1232,438,200,149,501,724,71.9,101.6,0.285,97.2901301069031
"209","North Alabama",32,0.313,-10.86,-1.55,0.389,0.298,0.674,351,1170,334,209,74,435,615,71.1,93.9,0.218,105.005343783399
"210","North Carolina-Asheville",31,0.129,-19.88,-2.41,0.403,0.325,0.741,298,931,331,196,86,456,533,64.2,92.9,0.199,118.022247168078
"211","North Carolina A&T",32,0.594,-11.11,-9.74,0.459,0.35,0.664,291,1059,452,215,108,417,515,67.9,102.3,0.203,103.118289608813
"212","NCC",33,0.545,-11.56,-11.4,0.456,0.315,0.715,387,1227,509,207,92,506,590,68.6,103.6,0.237,97.9847738468428
"213","North Carolina-Greensboro",35,0.829,4.73,-0.91,0.458,0.348,0.697,390,1224,444,309,136,415,613,69.8,108.9,0.212,98.069401680952
"214","North Carolina State",34,0.676,16.1,6.87,0.457,0.351,0.711,456,1316,514,245,128,430,654,71.7,110.3,0.203,99.6756487025948
"215","North Carolina-Wilmington",33,0.303,-7.72,-1.65,0.443,0.349,0.733,387,1221,495,150,68,436,585,70.3,107.2,0.248,115.77486774781
"216","UNC",33,0.818,25.28,12.16,0.464,0.365,0.742,433,1449,627,237,117,432,566,76.1,112.7,0.229,97.1191091026469
"217","North Dakota State",33,0.545,-3.95,-2.5,0.456,0.366,0.774,218,1042,383,159,82,349,492,66.7,108.9,0.245,109.416628387689
"218","North Dakota",30,0.4,-8.56,-3.33,0.464,0.372,0.695,233,1009,398,171,87,380,485,71.5,103.5,0.189,104.036384309267
"219","North Florida",33,0.485,-3.36,-0.59,0.448,0.343,0.692,363,1252,520,212,165,536,573,74,101.3,0.185,105.344210438691
"220","North Texas",33,0.636,0.02,-3.21,0.435,0.339,0.669,368,1244,428,210,88,443,589,67.5,103,0.186,94.5035945035945
"221","Northeastern",33,0.697,4.87,-0.95,0.482,0.388,0.751,230,1048,473,203,71,371,528,66.2,112.9,0.257,106.493387215283
"222","Northern Arizona",31,0.323,-10.7,-6.19,0.432,0.346,0.705,290,1055,381,196,67,372,537,70,103.4,0.238,111.897885027485
"223","Northern Colorado",32,0.656,-3.97,-6.8,0.463,0.362,0.704,309,1126,424,176,100,398,535,68.6,110.3,0.243,102.44507767258
"224","Northern Illinois",34,0.5,2.89,1.42,0.471,0.357,0.731,304,1179,374,188,75,404,653,68.4,106.5,0.199,104.359484473661
"225","Northern Iowa",34,0.471,-1.31,0.85,0.417,0.348,0.747,262,1113,370,165,75,393,554,65.8,99,0.217,101.742859749977
"226","Northern Kentucky",34,0.765,4.53,-3.22,0.481,0.366,0.665,358,1259,581,212,136,424,647,69.9,112.4,0.24,99.9657944244912
"227","Northwestern State",31,0.355,-16.89,-5.82,0.405,0.294,0.68,352,1103,340,192,138,496,578,70.7,92.8,0.23,104.846868389589
"228","Northwestern",32,0.406,10.46,9.65,0.402,0.313,0.735,278,1086,451,176,134,349,583,66.8,97.8,0.222,98.2817220543807
"229","Notre Dame",33,0.424,8.55,8.85,0.393,0.315,0.744,370,1208,423,179,148,306,455,66.4,103.3,0.224,106.028137519799
"230","Oakland",33,0.485,-2.18,-1.4,0.465,0.385,0.742,275,1063,581,191,99,426,534,69.9,109.4,0.265,110.539732770745
"231","Ohio State",33,0.576,14.42,10.99,0.437,0.343,0.734,310,1145,470,195,83,413,592,66.8,103.8,0.249,100.459770114943
"232","Ohio",31,0.452,-1.6,3.4,0.437,0.295,0.633,332,1152,451,200,115,448,504,71.5,96.9,0.207,104.246400583197
"233","Oklahoma State",32,0.375,8.01,11.45,0.423,0.372,0.689,295,1092,422,183,139,386,516,67.1,101,0.21,108.611031994683
"234","Oklahoma",32,0.594,14.7,11.76,0.445,0.342,0.691,295,1203,406,190,99,390,504,69.8,101.6,0.217,99.525850278107
"235","Old Dominion",34,0.765,3.96,-1.48,0.411,0.353,0.66,408,1324,435,190,155,399,560,65.5,101.2,0.195,94.7035645560341
"236","Oral Roberts",32,0.344,-9.25,-1.82,0.456,0.362,0.691,335,1147,434,152,106,447,575,69.1,104.2,0.181,113.752977826645
"237","Oregon State",31,0.581,7.91,4.36,0.463,0.321,0.742,310,1091,465,185,164,384,536,67.2,108.3,0.273,105.281073721066
"238","Oregon",35,0.657,12.79,5.25,0.45,0.343,0.719,340,1211,467,272,149,412,622,65.9,106.2,0.218,96.588916169765
"239","Pacific",32,0.438,-2.2,2.23,0.423,0.351,0.747,285,1041,322,196,46,423,630,66.7,99.4,0.31,106.897538637665
"240","Penn State",32,0.438,13.05,12.02,0.417,0.32,0.693,382,1174,389,245,122,399,597,68.2,101,0.224,101.657253957967
"241","Pennsylvania",31,0.613,2.21,-0.59,0.454,0.351,0.639,270,1102,463,210,77,395,500,69.1,102.9,0.18,98.971482000935
"242","Pepperdine",34,0.471,1.1,0.82,0.444,0.382,0.76,290,1085,479,229,95,432,639,70.7,106.3,0.271,106.735882501899
"243","Pittsburgh",33,0.424,8.49,7.31,0.418,0.331,0.697,383,1209,387,227,126,448,610,68.6,101.1,0.295,102.227633477633
"244","Portland State",32,0.5,-8.96,-5.79,0.424,0.309,0.702,491,1282,434,264,129,449,681,72.2,106.3,0.26,105.707501539003
"245","Portland",32,0.219,-10.58,0.72,0.414,0.325,0.671,233,1032,369,175,123,425,588,68.4,94.2,0.262,110.234403839055
"246","Prairie View",35,0.629,-7.33,-9.21,0.438,0.32,0.681,393,1154,444,309,55,445,758,72.5,103.5,0.289,103.368506493506
"247","Presbyterian",33,0.545,-3.36,-5.5,0.451,0.382,0.728,307,1146,518,193,67,326,566,69.5,112.9,0.235,106.423734853885
"248","Princeton",28,0.571,-3.25,-0.71,0.411,0.305,0.739,272,1016,295,168,70,354,459,69.8,98.4,0.223,100.11288998358
"249","Providence",34,0.529,8.81,7.22,0.423,0.326,0.691,399,1241,491,253,136,445,600,68.8,101.9,0.27,102.002234252814
"250","Purdue",32,0.719,21.31,11.93,0.446,0.364,0.732,391,1180,462,208,129,341,558,66.3,113.9,0.215,102.02328688681
"251","Quinnipiac",31,0.516,-6.62,-7.88,0.427,0.377,0.724,311,1111,393,159,62,415,524,67.6,106.9,0.271,107.770980692028
"252","Radford",33,0.667,1.21,-2.02,0.461,0.38,0.717,335,1169,467,196,101,358,528,66.4,110.5,0.191,103.739612188366
"253","Rhode Island",33,0.545,3.09,1.45,0.429,0.28,0.68,375,1194,401,235,129,405,586,68.2,100.8,0.25,100.602084831057
"254","Rice",32,0.406,-6.34,-1.84,0.427,0.349,0.686,316,1221,424,171,103,438,568,71.7,101.2,0.269,109.074122922712
"255","Richmond",33,0.394,-1.19,-0.61,0.472,0.347,0.661,196,957,519,249,101,336,488,66.6,105.3,0.203,107.969270640503
"256","Rider",31,0.516,-4.86,-6.4,0.448,0.341,0.616,363,1144,450,282,101,415,591,74.1,103.2,0.246,103.873552983081
"257","Robert Morris",34,0.529,-9.07,-7.45,0.433,0.36,0.697,361,1142,470,249,89,500,668,68.2,101,0.227,100.527271155675
"258","Rutgers",31,0.452,9.43,10.3,0.419,0.312,0.637,391,1210,390,201,124,408,566,68.1,99,0.202,101.882825193539
"259","Sacramento State",31,0.484,-8.76,-6.76,0.448,0.332,0.693,308,1051,431,239,104,404,566,69.4,101.2,0.228,101.040885221305
"260","Sacred Heart",32,0.469,-7.51,-7.74,0.46,0.357,0.755,354,1230,471,170,132,465,572,74,107.6,0.283,107.8768595752
"261","Saint Francis (PA)",33,0.545,-8.29,-5.77,0.435,0.351,0.706,430,1246,413,221,94,402,598,70.8,107.8,0.242,109.749693681078
"262","Saint Joseph's",33,0.424,-0.2,1.89,0.408,0.322,0.751,258,1140,397,186,110,305,497,68.8,102.2,0.238,107.200357781753
"263","Saint Louis",35,0.657,5.3,1.99,0.418,0.308,0.598,480,1392,454,248,142,446,611,67.1,100,0.237,97.7565506966962
"264","Saint Mary's",33,0.667,12.92,4.38,0.474,0.378,0.745,324,1147,332,198,84,347,561,64.5,112.6,0.221,101.500525661856
"265","Saint Peter's",32,0.313,-12,-6.25,0.431,0.325,0.726,293,1031,301,172,177,488,614,64.3,95.9,0.253,106.498545101843
"266","Sam Houston State",32,0.656,-2.96,-6.16,0.441,0.369,0.757,359,1158,531,236,91,399,634,68.5,107.6,0.2,101.52400073006
"267","Samford",33,0.515,1,-1.72,0.472,0.37,0.731,316,1225,461,238,127,463,560,71.2,107.1,0.25,105.185247843005
"268","San Diego State",34,0.618,5.6,2.78,0.436,0.362,0.716,346,1228,487,197,113,424,638,68.9,104.1,0.251,100.061146051712
"269","San Diego",36,0.583,6.34,3.82,0.457,0.351,0.747,290,1238,516,204,112,466,667,68,104.4,0.239,100.846204403549
"270","San Francisco",31,0.677,8.77,1.34,0.467,0.354,0.655,340,1137,439,188,104,321,543,67.3,112.1,0.201,101.980390253373
"271","San Jose State",31,0.129,-16.09,0.88,0.404,0.328,0.655,323,1127,423,131,52,484,539,71.3,91.7,0.23,116.559337626495
"272","Santa Clara",31,0.516,-1.75,1.09,0.444,0.36,0.716,242,1026,416,146,111,433,597,67.4,100,0.245,104.785796989579
"273","Savannah State",31,0.355,-20.42,-8.96,0.397,0.293,0.676,383,1188,462,234,96,478,564,78.1,97,0.173,112.842422719276
"274","Seattle",32,0.563,-1.03,-3.66,0.439,0.372,0.718,321,1176,368,140,115,390,640,69.8,104.5,0.247,99.8373689916878
"275","Seton Hall",33,0.606,11.3,8.85,0.441,0.324,0.708,351,1181,447,231,129,410,619,70.1,104.3,0.247,102.977125894884
"276","Siena",33,0.515,-7.81,-6.38,0.434,0.339,0.68,248,973,413,189,93,321,462,61.4,103.2,0.168,107.396449704142
"277","South Alabama",34,0.5,-4.25,-2.5,0.46,0.375,0.686,288,1094,471,201,141,456,649,68.9,104.6,0.244,106.268322124504
"278","South Carolina State",34,0.235,-16.78,-8.21,0.429,0.333,0.742,376,1138,386,167,60,493,670,69.2,100.3,0.303,112.018316917228
"279","South Carolina Upstate",32,0.188,-15.34,-4.3,0.414,0.328,0.713,305,1050,434,207,94,440,621,69.4,96.9,0.187,108.597079894804
"280","South Carolina",32,0.5,8.69,9.98,0.423,0.366,0.682,383,1160,413,202,140,433,622,71.2,101.7,0.248,103.642710104717
"281","South Dakota State",33,0.727,6.05,-4.6,0.501,0.408,0.778,251,1259,489,202,65,388,557,72.8,116.1,0.251,102.928692699491
"282","South Dakota",30,0.433,-5.35,-2.89,0.438,0.341,0.74,219,942,382,165,68,324,527,68.1,103.3,0.26,106.693306693307
"283","South Florida",32,0.594,5.31,1.22,0.429,0.326,0.641,444,1246,441,252,103,513,676,69.1,102.5,0.321,97.5520975520975
"284","Southeast Missouri State",31,0.323,-11.22,-4.29,0.44,0.37,0.69,284,1081,402,182,75,447,615,70.2,99.8,0.198,109.102587630758
"285","Southeastern Louisiana",33,0.515,-7.34,-6.05,0.441,0.338,0.717,346,1117,452,215,80,536,602,67.6,99.6,0.265,102.15497478221
"286","Southern California",33,0.485,8.19,4.92,0.46,0.382,0.645,324,1188,536,202,117,392,590,71,105.8,0.178,103.335906011491
"287","SIU Edwardsville",31,0.323,-14.38,-4.96,0.418,0.302,0.703,351,1079,382,198,70,438,612,71.9,98.4,0.251,111.71203120844
"288","Southern Illinois",32,0.531,1.57,0.01,0.466,0.374,0.685,289,1081,438,212,129,447,474,66.8,102.7,0.219,102.192564346997
"289","Southern Methodist",32,0.469,5.66,3.98,0.442,0.341,0.715,365,1135,441,189,123,350,515,66.5,108.2,0.199,108.218650755461
"290","Southern Mississippi",32,0.625,3.96,-0.36,0.467,0.388,0.655,271,1151,540,248,109,338,496,67.4,106.9,0.164,97.2013523666416
"291","Southern Utah",32,0.5,-9.47,-6.47,0.444,0.346,0.714,268,1163,404,192,103,438,660,73.4,102.1,0.26,103.928969717766
"292","Southern",32,0.219,-16.79,-7.38,0.44,0.331,0.668,313,980,372,216,86,511,716,68.4,94.6,0.23,110.064359667941
"293","St. Bonaventure",34,0.529,3.61,0.52,0.429,0.328,0.742,333,1183,417,199,164,421,553,65.1,99.8,0.209,96.7261904761905
"294","St. Francis (NY)",32,0.531,-9.79,-8.29,0.423,0.333,0.677,338,1163,369,189,129,403,613,70.5,100.3,0.2,100.901306894998
"295","St. Johns",33,0.636,8.71,5.99,0.454,0.361,0.725,252,1076,463,290,110,341,628,72.4,105.9,0.213,104.629472613193
"296","Stanford",31,0.484,6.16,5.26,0.453,0.317,0.672,322,1148,392,186,148,467,586,71.8,100.8,0.242,101.959527515795
"297","Stephen F. Austin",30,0.467,-10.71,-5.63,0.439,0.342,0.682,313,1008,348,192,113,442,579,69.8,99.7,0.244,104.507205725892
"298","Stetson",31,0.226,-15.01,-3.46,0.405,0.314,0.692,359,1110,418,210,94,394,536,71.6,96.5,0.177,110.499499590574
"299","Stony Brook",32,0.75,-2.1,-6.71,0.422,0.326,0.717,401,1303,358,199,132,458,601,69.6,101.8,0.257,95.8405388186038
"300","Syracuse",33,0.606,14.61,10.58,0.424,0.33,0.681,356,1146,396,273,158,410,576,67.3,103.2,0.251,99.3492805425717
"301","Temple",33,0.697,8.08,4.84,0.437,0.33,0.727,316,1136,476,284,73,368,580,70.5,104.4,0.236,102.095600969865
"302","Tennessee-Martin",31,0.387,-10.84,-4.22,0.446,0.344,0.754,351,1062,441,223,88,418,490,71.2,105.9,0.208,113.35035564472
"303","Tennessee State",30,0.3,-11.53,-3.06,0.432,0.335,0.701,317,1032,342,219,78,497,735,73.1,98.6,0.253,107.455534052161
"304","Tennessee Tech",31,0.258,-14.6,-2.84,0.416,0.344,0.631,330,1122,389,226,134,517,554,72.9,92.4,0.228,105.428443248093
"305","Tennessee",34,0.853,22.51,10.32,0.497,0.362,0.762,347,1277,619,203,184,380,593,69.6,116.3,0.255,99.539406345957
"306","Texas A&M-Corpus Christi",32,0.438,-8.74,-5.31,0.429,0.325,0.695,349,1159,423,197,90,456,610,67.3,97.9,0.209,99.8871331828442
"307","Texas A&M",32,0.438,7.53,8.91,0.438,0.308,0.693,372,1195,376,215,142,444,521,69.4,101.4,0.237,106.028434268833
"308","Texas-Arlington",33,0.515,-0.25,1.1,0.409,0.303,0.741,372,1237,421,211,97,467,630,69,98.5,0.256,101.605929586164
"309","Texas Christian",33,0.606,13.34,9.46,0.458,0.352,0.686,354,1197,535,233,145,454,531,69.6,104.9,0.216,101.604981582179
"310","Texas-El Paso",29,0.276,-7.92,-1.4,0.401,0.32,0.662,285,1070,306,135,83,466,551,70,90.7,0.241,99.8004987531172
"311","Texas-Rio Grande Valley",35,0.543,-1.25,-1.04,0.417,0.317,0.696,343,1154,461,327,95,449,734,71.5,98.1,0.307,99.5944849959449
"312","Texas-San Antonio",32,0.531,1.03,0.39,0.433,0.344,0.737,323,1216,420,213,82,402,581,74,103.5,0.191,101.93105784704
"313","Texas Southern",34,0.618,-6.51,-7.51,0.45,0.322,0.666,421,1333,517,271,99,520,609,76.2,104.6,0.28,103.872133207666
"314","Texas State",33,0.727,2.18,-2.69,0.444,0.329,0.682,395,1249,481,227,82,440,647,68.3,105.2,0.241,95.3947368421053
"315","Texas Tech",32,0.813,21.41,7.6,0.472,0.368,0.728,282,1092,429,232,157,396,567,67.7,107.5,0.244,89.2285983066792
"316","Texas",33,0.515,15.38,11.56,0.434,0.343,0.706,327,1115,422,201,137,362,558,66.2,106.5,0.212,102.269582064766
"317","Toledo",32,0.781,8.89,0.69,0.455,0.38,0.771,322,1249,526,165,146,393,502,69.8,109.9,0.208,98.552036199095
"318","Towson",32,0.313,-8.09,-3.22,0.435,0.327,0.697,389,1183,318,154,94,390,562,64.5,102.7,0.199,110.639529275586
"319","Troy",30,0.4,-5.86,-0.75,0.45,0.335,0.722,277,1021,392,171,135,408,523,69.6,103.6,0.231,108.309178743961
"320","Tulane",31,0.129,-6.87,3.49,0.411,0.318,0.689,298,1130,444,147,109,467,535,72,93.3,0.226,109.876543209877
"321","Tulsa",32,0.563,4.55,3.77,0.448,0.34,0.695,239,1119,430,176,76,404,529,69.9,101.9,0.301,103.349412942568
"322","UCLA",33,0.515,7.27,6.87,0.457,0.355,0.633,380,1361,472,194,135,467,563,73.7,105,0.242,106.68273626465
"323","Utah State",34,0.824,12.74,0.8,0.474,0.355,0.747,366,1368,583,211,142,428,632,70,112.4,0.274,97.2257898792705
"324","Utah Valley",34,0.735,3.52,-2.23,0.485,0.385,0.728,301,1227,462,195,84,467,600,70.4,110.3,0.295,103.046901745977
"325","Utah",31,0.548,6.19,5.16,0.464,0.37,0.706,317,1096,440,144,80,409,549,67.9,110.9,0.251,111.45943860326
"326","Valparaiso",33,0.455,-3.16,-0.78,0.45,0.316,0.699,294,1115,431,202,101,439,546,66.4,99.5,0.233,100.969529085873
"327","Vanderbilt",32,0.281,3.91,8.12,0.421,0.311,0.673,325,1139,371,154,126,454,568,68.9,98.5,0.273,107.02727693019
"328","Vermont",33,0.818,4.88,-4.69,0.459,0.353,0.752,300,1161,390,186,133,361,541,66.3,110.6,0.273,95.6501619620546
"329","Villanova",34,0.735,15.32,7.94,0.439,0.353,0.727,357,1200,485,184,103,371,558,65.2,112.9,0.257,103.870673952641
"330","VCU",32,0.781,12.52,2.68,0.442,0.307,0.698,347,1174,444,255,145,446,634,69,102.7,0.251,90.7960199004975
"331","VMI",32,0.344,-10.23,0.36,0.427,0.36,0.73,280,1110,442,217,61,390,541,73.5,102.6,0.215,113.025827070916
"332","Virginia Tech",32,0.75,19.85,7.94,0.476,0.394,0.758,285,1043,491,213,74,363,489,64.3,114.2,0.238,97.9783037475345
"333","Virginia",32,0.906,26.62,9.84,0.478,0.409,0.746,284,1112,464,180,122,289,469,61.1,117.1,0.226,91.3900414937759
"334","Wagner",30,0.433,-12.62,-7.26,0.386,0.305,0.744,378,1095,351,184,108,414,639,66.4,98.7,0.252,104.179408766565
"335","Wake Forest",31,0.355,1.84,9.09,0.394,0.308,0.725,399,1174,329,150,77,417,555,68.8,98.6,0.273,111.491628614916
"336","Washington State",32,0.344,-1.68,2.2,0.448,0.364,0.755,276,1076,476,165,93,440,554,71.7,104.4,0.229,111.836843508398
"337","Washington",34,0.765,11.85,6.41,0.453,0.346,0.694,322,1076,397,305,193,452,625,67.1,103.6,0.244,97.9769044848268
"338","Weber State",33,0.545,-4.29,-6.03,0.476,0.364,0.746,220,1177,382,180,140,382,608,73.4,107.2,0.273,103.143913920646
"339","West Virginia",34,0.412,7.2,10.94,0.413,0.317,0.683,489,1338,454,210,118,535,684,71.4,101,0.271,108.771637816245
"340","Western Carolina",32,0.219,-8.92,0.69,0.454,0.37,0.675,303,1135,389,135,53,577,671,71.3,99.8,0.243,112.947294200599
"341","Western Illinois",31,0.323,-9.87,-5.01,0.44,0.385,0.73,254,1100,319,165,132,353,488,69.5,101.6,0.173,106.466729147142
"342","Western Kentucky",34,0.588,3.45,1.27,0.447,0.327,0.724,338,1256,417,235,174,466,527,69,102.1,0.274,101.177178209314
"343","Western Michigan",32,0.25,-5.89,1.85,0.425,0.315,0.69,345,1197,373,147,78,490,564,70.2,98.5,0.258,108.913101723676
"344","Wichita State",33,0.576,6.8,5.28,0.406,0.31,0.726,411,1247,452,158,111,391,638,69.1,101.9,0.211,101.295589670778
"345","William & Mary",31,0.452,-4.48,-1.78,0.474,0.346,0.668,251,1057,529,158,146,390,516,69.2,106.1,0.217,111.323749066468
"346","Winthrop",30,0.6,-2.94,-3.79,0.455,0.373,0.738,330,1232,460,134,83,456,534,75.1,110,0.222,105.739910313901
"347","Wisconsin",33,0.697,19.05,11.41,0.453,0.366,0.649,269,1162,421,169,139,314,496,64.9,104.5,0.178,94.8437207561295
"348","Wofford",33,0.879,13.8,0.14,0.493,0.416,0.699,350,1176,507,227,99,359,557,68.7,119.9,0.188,96.2650066696309
"349","Wright State",35,0.6,3.34,-0.85,0.436,0.344,0.737,382,1230,483,214,72,402,545,67.5,108.1,0.251,101.685441568493
"350","Wyoming",32,0.25,-9.44,0.5,0.417,0.344,0.723,167,983,331,176,88,450,588,70.2,93.3,0.288,109.441670449387
"351","Xavier",33,0.545,9.67,8.39,0.468,0.333,0.686,343,1192,488,179,125,430,518,66.5,106.9,0.226,107.215166574636
"352","Yale",29,0.759,5.46,-1.72,0.498,0.372,0.736,249,1119,495,172,126,383,494,72.7,110.2,0.229,101.540080352018
"353","Youngstown State",32,0.375,-7.68,-1.95,0.427,0.339,0.701,418,1209,449,210,115,423,656,70.6,104.8,0.172,111.473962930274
